gene	p_value	rank
piR-hsa-1271037	0.0679475505928122	528
piR-hsa-152089	0.0689214353336022	529
piR-hsa-139409	0.0691539785613269	530
piR-hsa-1319559	0.0692597462279183	531
piR-hsa-786344	0.0694093518854925	532
hsa-mir-451a	0.0694646976434974	533
piR-hsa-184571	0.0702037513903011	534
hsa-mir-93	0.070436581187489	535
piR-hsa-768772	0.070585025956955	536
piR-hsa-379243	0.0709910058425853	537
piR-hsa-158216	0.0709921466633478	538
piR-hsa-164633	0.0715009942980028	539
piR-hsa-134893	0.0715122941810796	540
piR-hsa-229364	0.0716064273174742	541
piR-hsa-64659	0.0721341138678893	542
piR-hsa-755219	0.0721924675000618	543
piR-hsa-770137	0.072384062388439	544
piR-hsa-804405	0.0727560084112323	545
piR-hsa-767445	0.0732178998246208	546
piR-hsa-730890	0.073468826370077	547
hsa-mir-494	0.0734841135694022	548
hsa-mir-193b	0.0735016206943941	549
piR-hsa-675870	0.0737345346564212	550
hsa-mir-124-3	0.0740116425533342	551
piR-hsa-143488	0.0748022893539168	552
piR-hsa-167980	0.0753331280365693	553
piR-hsa-1299987	0.0755169509522184	554
piR-hsa-731901	0.0756828074213216	555
hsa-mir-212	0.0757619755797125	556
piR-hsa-382749	0.0761064163167055	557
piR-hsa-142489	0.07626008670321	558
hsa-mir-654	0.0762792204514692	559
piR-hsa-153555	0.0767515307570279	560
piR-hsa-163703	0.077055694117809	561
piR-hsa-180277	0.0772785030289987	562
piR-hsa-180400	0.0774475068668421	563
piR-hsa-387776	0.0774550126706572	564
piR-hsa-348921	0.078110786926776	565
hsa-mir-124-2	0.0783129587575149	566
piR-hsa-804535	0.0783175204658539	567
piR-hsa-170413	0.0788228817420514	568
piR-hsa-153016	0.0789847027817825	569
hsa-mir-10527	0.0797788097240507	570
piR-hsa-161068	0.0799932436084014	571
piR-hsa-751127	0.0801962862141142	572
piR-hsa-359109	0.0802157321086661	573
piR-hsa-356412	0.0802250669589656	574
piR-hsa-7972398	0.0807381565909404	575
piR-hsa-758652	0.0808628971397799	576
piR-hsa-687897	0.0812588564329051	577
piR-hsa-142866	0.0814067020533372	578
piR-hsa-361441	0.0814102356146308	579
piR-hsa-135058	0.0816603891601972	580
piR-hsa-349417	0.0817886796380726	581
hsa-mir-200b	0.082199779557224	582
piR-hsa-754658	0.0824191880074401	583
piR-hsa-402812	0.0829594344943037	584
piR-hsa-784021	0.0833020237868535	585
piR-hsa-787185	0.0837298682835505	586
hsa-mir-487b	0.0844397709777478	587
piR-hsa-792796	0.0857827236910279	588
hsa-mir-7-2	0.0857926875681513	589
piR-hsa-166685	0.0868231484994331	590
piR-hsa-180074	0.0868865767762681	591
piR-hsa-131895	0.0873846895820463	592
hsa-mir-766	0.08812341452477	593
piR-hsa-132825	0.0886462861354199	594
piR-hsa-162633	0.0890829747269845	595
piR-hsa-191277	0.0895796811021987	596
piR-hsa-154142	0.0896366970425576	597
hsa-mir-7-3	0.0900273547615888	598
piR-hsa-146985	0.0902258539033285	599
hsa-mir-152	0.0903944383588815	600
hsa-mir-382	0.0905319464563345	601
piR-hsa-131141	0.0905718663867488	602
piR-hsa-179871	0.0908498332331533	603
hsa-mir-370	0.0911839057382726	604
hsa-mir-299	0.0912608035697011	605
piR-hsa-338004	0.0916966189119289	606
piR-hsa-1289440	0.0929312604678494	607
hsa-mir-1307	0.0931103632650646	608
piR-hsa-853922	0.0931293089822798	609
piR-hsa-131979	0.0934557135790388	610
piR-hsa-133772	0.0936414220525509	611
piR-hsa-1322677	0.0936686564110515	612
hsa-mir-885	0.0943400316910979	613
piR-hsa-791200	0.0943817770430609	614
piR-hsa-3429715	0.0946893699812402	615
piR-hsa-144395	0.0947455851764755	616
piR-hsa-447718	0.0950096105291902	617
piR-hsa-393661	0.0951109810654399	618
piR-hsa-185420	0.0951531784373881	619
piR-hsa-790329	0.0953258807062704	620
piR-hsa-95220	0.0954920825519162	621
hsa-mir-34b	0.0958354877391651	622
piR-hsa-154277	0.0958785919788119	623
piR-hsa-400942	0.0958884147416771	624
piR-hsa-755510	0.0959108532195266	625
piR-hsa-798509	0.0959748185476643	626
piR-hsa-140764	0.0962128738224092	627
piR-hsa-802544	0.0963510661015217	628
piR-hsa-175871	0.0965266510623514	629
piR-hsa-148707	0.0967867329966331	630
piR-hsa-187086	0.0968724702549297	631
piR-hsa-683811	0.097198133642103	632
hsa-mir-142	0.0976191353016255	633
piR-hsa-805828	0.0979899492944682	634
piR-hsa-105720	0.0981823083181005	635
hsa-mir-431	0.0985454158465998	636
piR-hsa-720500	0.0985577902337049	637
hsa-mir-218-1	0.0989032551894194	638
piR-hsa-778844	0.0995655669839407	639
piR-hsa-76731	0.0996394869473399	640
piR-hsa-742785	0.0997258044819346	641
piR-hsa-351350	0.100316117596117	642
piR-hsa-2644744	0.10038811149605	643
piR-hsa-784390	0.10043641977309	644
piR-hsa-2832984	0.100682878101425	645
piR-hsa-161409	0.100874178589788	646
piR-hsa-166807	0.100937475473174	647
piR-hsa-155644	0.101393525768324	648
piR-hsa-336105	0.10160318987403	649
piR-hsa-2850911	0.101764932197478	650
piR-hsa-4147503	0.103456374530056	651
piR-hsa-147963	0.103472016761951	652
piR-hsa-783156	0.10380515862603	653
piR-hsa-345345	0.104065030490637	654
piR-hsa-798802	0.104923558544932	655
piR-hsa-748332	0.105131096879959	656
piR-hsa-519773	0.105631067812186	657
piR-hsa-804537	0.105699274821177	658
piR-hsa-138899	0.105717809588961	659
piR-hsa-2834826	0.105873953914818	660
hsa-mir-3182	0.106480590754359	661
hsa-mir-378f	0.106594387053747	662
piR-hsa-157882	0.107184400790797	663
